92711,503,23188493,1286512,2015
93001,15345,945720717,45438961,2015
93111,9012,838461983,43588046,2015
93061,384,17349826,496085,2015
95039,765,37841537,1233854,2015
95258,2388,201026591,10788583,2015
95312,174,8260113,281581,2015
95319,951,38427836,684341,2015
95565,358,13395768,221103,2015
95559,60,2156424,43423,2015
95560,1044,44846258,1524681,2015
95563,208,8562101,209363,2015
95558,147,5509757,119101,2015
95564,152,5302679,120601,2015
95562,1039,39781563,772659,2015
95556,177,6214164,155267,2015
96047,318,17306894,556714,2015
90291,14985,1580571326,111285045,2014
90308,184,7319451,154180,2014
90601,14595,833003353,27482709,2014
90508,119,5794868,229261,2014
90309,139,6258011,192082,2014
90604,17416,862961569,20573976,2014
90704,1855,82873042,2610215,2014
90743,239,46272499,3734845,2014
91003,173,9970666,420371,2014
91020,3651,211580849,7463758,2014
90853,288,18016944,995836,2014
91101,9779,903021141,61707477,2014
91046,145,9775722,445439,2014
90814,10025,697313597,32402887,2014
91017,583,41594384,2313314,2014
91188,23,1581543,49712,2014
91209,540,31769892,1480700,2014
91222,127,9510004,454244,2014
91202,10491,776743641,38617915,2014
91316,14021,1400848755,100414683,2014
91342,39357,1707287309,38261737,2014
91311,18293,1419242910,70705447,2014
91302,12322,2931490386,286097300,2014
91387,18975,1338888058,52362535,2014
91385,116,12554131,1173404,2014
91390,8423,745227046,32191084,2014
91362,17807,2543772274,183634841,2014
91503,285,18774626,1031034,2014
91412,197,6111534,104187,2014
91423,17236,1839998585,123029144,2014
91409,427,14724061,743641,2014
91607,15096,1021907470,49098471,2014
91610,260,15249478,796062,2014
91765,21865,1622635327,74135851,2014
91773,16188,1112527932,46025534,2014
91902,8476,623357764,27366903,2014
91941,14828,1093319254,49460183,2014
91901,7121,562710750,24116171,2014
91906,1270,60204950,1488579,2014
91935,4025,343334316,16453905,2014
91943,223,12662443,420577,2014
92011,10903,1280509122,78356800,2014
92007,5957,667407272,43494330,2014
92003,2575,192822231,9074657,2014
92018,937,72814206,4815772,2014
92023,1161,71962990,4443536,2014
92028,19987,1171764337,47508923,2014
92105,26968,808461465,11936795,2014
92112,647,33295657,1391756,2014
92115,23436,1080687759,36080231,2014
92138,1147,67441358,3112580,2014
92122,19437,1646768570,87677732,2014
92123,12819,796275365,33330486,2014
92121,2597,367909748,28137585,2014
92203,11094,681106630,24236678,2014
92202,1778,58627760,1174694,2014
92210,1857,241842695,20756142,2014
92211,11314,675077505,30907343,2014
92195,363,15923173,415555,2014
92201,22963,840054649,17579536,2014
92196,535,32878603,1447088,2014
92192,645,72140976,5165849,2014
92198,613,57707127,3331068,2014
92193,270,15145729,633210,2014
92191,200,26116590,1682600,2014
92171,364,23133563,1715196,2014
92160,372,34091909,2529238,2014
92220,12450,464565697,10451048,2014
96047,289,17247730,629110,2014
92531,420,16525818,452886,2013
92583,9843,341457638,5571284,2013
92620,20568,2097749030,118053921,2013
92616,322,18827999,1234746,2013
92606,9173,791130782,42215861,2013
92662,1630,223693274,17809502,2013
92656,23846,2115365431,103689864,2013
92661,1911,297409497,29398137,2013
92805,29388,1098014925,22488270,2013
92707,26489,899779027,15901559,2013
92685,633,23318290,678979,2013
92802,17369,671096660,14250834,2013
92842,877,31580309,737173,2013
92822,644,37329310,1752758,2013
92846,183,13017442,644487,2013
92825,115,6782442,257878,2013
93102,522,-11987610,4057301,2013
93041,8671,355142611,8044490,2013
93105,12318,1078411935,59850447,2013
93118,254,15065137,650917,2013
93160,474,32203736,1714780,2013
93237,28,1656834,58831,2013
93234,2581,60913307,424924,2013
93230,22819,1055890273,33722592,2013
93221,5489,294938753,10589192,2013
93422,12993,800191802,31124301,2013
93410,36,248067,1070,2013
93388,182,7403518,583330,2013
93446,18261,925732099,36697349,2013
93452,220,8252548,185800,2013
93465,4444,311860315,16303860,2013
93529,308,13167437,315693,2013
93517,320,15481719,444669,2013
93541,225,8911670,210553,2013
93502,148,7421915,254723,2013
93475,420,12476775,210756,2013
93524,27,514363,6461,2013
93534,14327,503067590,10916967,2013
93510,3569,269289936,11932814,2013
93611,18616,1197390038,39944121,2013
93553,742,33836474,926797,2013
93556,597,34419771,1120815,2013
93604,335,19353605,874889,2013
93639,453,19558591,787417,2013
93633,32,1463203,36328,2013
93646,3253,87662996,1781219,2013
93635,14953,549822359,14274701,2013
95247,1947,105899162,4403984,2013
95323,536,31376598,1346426,2013
95321,1514,74335633,2464698,2013
95307,15721,588306693,11410290,2013
95354,8584,398745784,14644090,2013
95350,19257,884536935,26345211,2013
95352,344,28862951,5544865,2013
95372,1145,53005660,1264027,2013
95345,339,13048551,287818,2013
95373,107,5865969,194081,2013
95388,4245,137795208,2240565,2013
95410,399,20405583,920193,2013
95418,237,7784769,150336,2013
95421,580,32734462,1455814,2013
95439,448,25222036,963488,2013
95433,536,22477404,538499,2013
95449,652,18664251,1026490,2013
95466,579,26098549,823998,2013
95461,1634,67423325,1922719,2013
95460,1388,75683336,3186874,2013
95525,768,34121883,932100,2013
95554,131,4383970,75765,2013
95568,60,1945545,26794,2013
95614,1855,123157954,4675985,2013
95585,127,2764990,22026,2013
95565,377,13377887,228372,2013
95646,69,2775402,92278,2013
95641,760,31004225,973704,2013
95683,3017,300240084,16267664,2013
95664,579,38579368,1477108,2013
95746,10023,1333625842,102728106,2013
95694,4228,249700509,9333844,2013
95696,1091,59894353,2035538,2013
95695,15735,842088080,30249818,2013
95824,9750,272485383,3317373,2013
95822,17785,828962377,24876117,2013
95842,11982,437113622,7903313,2013
